CustomerID,Title,FirstName,MiddleInitial,Surname,CardType,Occupation,Gender,Age,Location,ComChannel,MotorID,HealthID,TravelID
1,Mrs.,Macy,A,Boyle,Mastercard,Clinical laboratory technologist,female,23,Urban,SMS,,,6255
2,Ms.,Thea,L,McIntosh,Mastercard,,female,44,Urban,Phone,,7154,
4,Ms.,Murron,P,Miller,Mastercard,Sheriff,female,19,Urban,SMS,6391,,
5,Mr.,Kai,A,Henderson,Visa,Automotive painter,male,47,Rural,Phone,8876,4975,2178
11,Mrs.,Kayla,A,Brown,Visa,Risk manager,female,54,Rural,Email,1850,3888,
13,Mr.,Muhammed,L,King,Mastercard,Building cleaning worker,male,49,Rural,Email,8617,2953,3617
14,Mr.,Lucas,C,Gilbert,Visa,Farm and home management advisor,male,19,Rural,Email,8333,,9005
16,Mr.,Shay,P,Sinclair,Mastercard,Recreation supervisor,male,68,Rural,Phone,8960,1907,
17,Ms.,Eve,C,Sutherland,Visa,Computer systems analyst,female,20,Urban,Email,4961,3584,
18,Mr.,Muhammad,N,McGregor,Mastercard,Fire inspector,male,49,Urban,Email,9453,3020,
19,Mr.,Jamie,C,Hunter,,Farm and home management advisor,male,49,Rural,Phone,9369,2995,8662
20,Mr.,Harvey,E,Taylor,,Electronics repairer,male,68,Rural,Phone,3787,9211,
21,Ms.,Isabella,K,Riley,Mastercard,,female,47,Urban,Email,7764,1284,
22,Mr.,Callum,M,McDonald,Mastercard,,male,46,Urban,SMS,1173,,
23,Mr.,Hazel,C,Sutherland,Mastercard,Letterpress setter,female,42,Urban,Email,4055,9363,9601
24,Ms.,Imogen,J,Cooper,Visa,,female,61,Rural,Phone,7317,4558,
26,Ms.,Maisie,C,Gill,Mastercard,,female,51,Urban,Email,8311,,
27,Mr.,Mason,L,Nicholls,Mastercard,Manager,male,19,Rural,SMS,4354,,
28,Mr.,Michael,A,Dickson,Visa,Environmental meteorologist,male,18,Urban,Email,1774,,9378
29,Mr.,Noah,G,McCarthy,Mastercard,Personnel analyst,male,50,Rural,Phone,2948,2922,
30,Mr.,Nairn,F,Donaldson,Visa,,male,44,Rural,SMS,1798,6430,
31,Ms.,Ami,D,Williamson,Mastercard,Occupational health nurse,female,49,Urban,Email,9959,,4393
32,Mr.,Donald,K,Moore,Visa,Systems administrator,male,51,Urban,Email,6752,,2194
33,Ms.,Zahra,L,McKay,Visa,Health engineer,female,72,Urban,Phone,1834,2969,2903
35,Mr.,Max,E,Nicholls,Mastercard,Tank car truck and ship loader,male,21,Urban,Email,5542,,8952
36,Ms.,Rosa,J,Clark,Mastercard,,female,19,Urban,Email,7930,,8998
37,Mr.,Scott,J,Lowe,Visa,Airport service agent,male,19,Urban,SMS,8699,,
38,Mr.,Aaron,G,Powell,Visa,,male,69,Rural,Phone,,,1975
39,Ms.,Katy,A,Martin,Visa,,female,47,Rural,Email,8803,5751,
40,Mr.,Patrick,E,Reed,Mastercard,News correspondent,male,48,Urban,SMS,9794,8377,9309
41,Mrs.,Rebekah,M,Walker,,Procurement clerk,female,47,Rural,Email,,4283,5107
42,Dr.,Mary,J,Moore,Mastercard,Soil scientist,female,48,Urban,Email,6986,8245,
43,Mr.,Keiren,M,Kerr,,Television camera operator,male,53,Urban,Email,7403,7127,
44,Mrs.,Demi,L,Weston,Visa,,female,47,Rural,Phone,2780,8294,
45,Mr.,Aedan,M,Ritchie,Visa,Information clerk,male,46,Urban,Phone,5550,1454,1391
48,Ms.,Millie,J,Spencer,,,female,73,Urban,Phone,4071,8756,8908
49,Mrs.,Faith,J,Collins,,Social work planner,female,49,Urban,Email,9696,,4391
50,Ms.,Nikola,C,Craig,Visa,Bench carpenter,female,46,Rural,Email,,,
51,Mr.,Anthony,L,Stephens,Visa,Nuclear medicine technologist,male,23,Urban,Email,,,1142
54,Mrs.,Amelia,A,Watson,Mastercard,,female,18,Urban,Email,3750,,4454
